Asiakas Pvm	Myyjä		Toimipiste	Myynti
Masamyynti Oy 45292	Salmi		Helsinki	3619
Sandström AB 45292	Helminen		Kuopio	5526
Diamond Oy 45292	Salmi		Turku	1070,004579
				
Sandström AB 45292	Karjalainen		Kuopio	7004,4564
Kihveli Oy 45292	Isotalo		Helsinki	8167,070254
Uusitalo Oy 45292	Uusitalo		Turku	3638,323858
Kihveli Oy 45293	Salmi		Helsinki	6750
Masamyynti Oy 45293	Helminen		Tampere	7713
Sandström AB 45293	Karjalainen		Helsinki	4855,444428
Uusitalo Oy 45293	Karjalainen		Kuopio	9201,871239
Lahti Oy 45294	Isotalo		Oulu	6511
Kukkasaari Ky 45295	Salmi		Tampere	1791
Diamond Oy 45295	Salmi		Oulu	4244
Lahti Oy 45295	Helminen		Helsinki	2875
				
Kihveli Oy 45295	Karjalainen		Kuopio	2746
Masamyynti Oy 45295	Karjalainen		Oulu	6440,864531
Uusitalo Oy 45295	Karjalainen		Helsinki	5108,487897
Kukkasaari Ky 45295	Salmi		Helsinki	2219,344434
Kihveli Oy 45296	Uusitalo		Tampere	131,9381413
Sandström AB 45296	Uusitalo		Kuopio	2272,665406
Lahti Oy 45296	Helminen		Tampere	8858,629452
Kukkasaari Ky 45297	Karjalainen		Turku	2074,647375
Uusitalo Oy 45297	Uusitalo		Helsinki	7391,510895
Diamond Oy 45298	Salmi		Kuopio	8130
Sandström AB 45298	Helminen		Turku	6512,496586
Diamond Oy 45298	Salmi		Turku	2435,668325
Uusitalo Oy 45299	Karjalainen		Turku	9847,508588
Masamyynti Oy 45300	Karjalainen		Kuopio	3831
Sokerisuuda Ky 45301	Isotalo		Kuopio	2006
Sokerisuuda Ky 45301	Karjalainen		Oulu	8104
Sandström AB 45301	Uusitalo		Helsinki	5944,67738
Kukkasaari Ky 45302	Isotalo		Kuopio	8711
Kihveli Oy 45302	Helminen		Oulu	7432,297559
Sokerisuuda Ky 45302	Helminen		Turku	4943,263985
Sokerisuuda Ky 45303	Uusitalo		Turku	6357,626795
				
Uusitalo Oy 45303	Karjalainen		Tampere	3070,191379
Sandström AB 45303	Isotalo		Kuopio	7745,154902
Kihveli Oy 45304	Salmi		Oulu	3987
Sandström AB 45304	Helminen		Tampere	2483,626646
Kihveli Oy 45304	Uusitalo		Turku	6286,74758
Lahti Oy 45304	Salmi		Turku	1425,169246
Sokerisuuda Ky 45304	Helminen		Kuopio	4007,486195
Lahti Oy 45305	Karjalainen		Turku	9639,84
Masamyynti Oy 45305	Helminen		Helsinki	223,2000425
Lahti Oy 45305	Helminen		Kuopio	5332,824167
Sokerisuuda Ky 45306	Karjalainen		Helsinki	9007
Kihveli Oy 45306	Isotalo		Oulu	2574
Sokerisuuda Ky 45306	Helminen		Helsinki	4768,73141
Lahti Oy 45307	Salmi		Oulu	4445,28
Sokerisuuda Ky 45307	Karjalainen		Oulu	4040,070743
Kihveli Oy 45307	Helminen		Helsinki	3061,475286
Sandström AB 45307	Helminen		Tampere	5214,684693
Sandström AB 45307	Salmi		Tampere	270,512709
Lahti Oy 45308	Uusitalo		Oulu	1105,061399
Sandström AB 45308	Salmi		Kuopio	5569,976211
Masamyynti Oy 45308	Helminen		Tampere	8700,641037
Sandström AB 45309	Karjalainen		Oulu	8920
				
Diamond Oy 45309	Salmi		Kuopio	4317,3806
Kukkasaari Ky 45310	Salmi		Turku	1841,5926
Sandström AB 45310	Isotalo		Turku	5137,871945
Masamyynti Oy 45310	Uusitalo		Helsinki	864,9689565
Sokerisuuda Ky 45310	Uusitalo		Helsinki	9462,324038
Kihveli Oy 45311	Isotalo		Tampere	6169
Diamond Oy 45311	Helminen		Oulu	2106,626803
Kihveli Oy 45311	Karjalainen		Oulu	3589,415769
Sandström AB 45311	Helminen		Tampere	9711,033674
Sokerisuuda Ky 45312	Isotalo		Helsinki	1051
Kihveli Oy 45312	Helminen		Tampere	516,0529898
Sokerisuuda Ky 45312	Helminen		Kuopio	8443,417756
Kihveli Oy 45312	Uusitalo		Tampere	8014,917683
Masamyynti Oy 45312	Isotalo		Tampere	6480,448482
Uusitalo Oy 45312	Uusitalo		Kuopio	2361,034008
Sokerisuuda Ky 45313	Karjalainen		Tampere	4532,64
Uusitalo Oy 45313	Salmi		Turku	9586,119256
Kukkasaari Ky 45314	Karjalainen		Oulu	410
Kihveli Oy 45314	Karjalainen		Kuopio	8461,832604
Kukkasaari Ky 45315	Karjalainen		Oulu	7707,076815
Lahti Oy 45315	Karjalainen		Kuopio	1290,870737
Kukkasaari Ky 45316	Karjalainen		Tampere	1535
Kihveli Oy 45316	Isotalo		Oulu	4918
Kihveli Oy 45316	Helminen		Oulu	5934
Sokerisuuda Ky 45316	Salmi		Oulu	9791
Sandström AB 45317	Salmi		Kuopio	1545
Kihveli Oy 45318	Salmi		Kuopio	4020
Sandström AB 45318	Salmi		Oulu	9087,543431
Masamyynti Oy 45318	Helminen		Helsinki	2448,655428
Masamyynti Oy 45318	Isotalo		Helsinki	3811,816651
Lahti Oy 45319	Helminen		Oulu	7146,685521
Kihveli Oy 45319	Karjalainen		Tampere	753,3510107
Sandström AB 45320	Isotalo		Tampere	5772
Sokerisuuda Ky 45320	Helminen		Oulu	6452,6996
Kihveli Oy 45321	Helminen		Helsinki	8136
Diamond Oy 45321	Salmi		Kuopio	4841
Masamyynti Oy 45321	Helminen		Turku	2339,612387
Sokerisuuda Ky 45321	Karjalainen		Oulu	9808,102445
Masamyynti Oy 45321	Uusitalo		Tampere	1722,764006
Lahti Oy 45322	Uusitalo		Helsinki	5409,6
Kukkasaari Ky 45322	Isotalo		Oulu	1469
Kihveli Oy 45322	Uusitalo		Turku	4023,490952
Lahti Oy 45322	Karjalainen		Kuopio	9017,351109
Lahti Oy 45322	Salmi		Turku	1853,488909
Uusitalo Oy 45322	Salmi		Helsinki	135,7709101
Lahti Oy 45323	Salmi		Tampere	1212
Masamyynti Oy 45323	Helminen		Kuopio	3513
Kihveli Oy 45323	Salmi		Kuopio	6693
Kihveli Oy 45324	Isotalo		Turku	452,8658218
Sandström AB 45324	Uusitalo		Oulu	4127,888982
Masamyynti Oy 45325	Salmi		Helsinki	6196,096944
Sandström AB 45325	Helminen		Oulu	7603,028681
Kihveli Oy 45325	Salmi		Tampere	9590,216275
Masamyynti Oy 45326	Salmi		Kuopio	792
Masamyynti Oy 45326	Helminen		Oulu	371
Kukkasaari Ky 45326	Salmi		Oulu	6127,034879
Sandström AB 45326	Salmi		Tampere	1669,02544
Sokerisuuda Ky 45328	Isotalo		Tampere	7296
Kukkasaari Ky 45328	Salmi		Tampere	8848
Diamond Oy 45328	Helminen		Helsinki	595,1942128
Kukkasaari Ky 45329	Helminen		Oulu	7726
Sandström AB 45329	Karjalainen		Kuopio	3321
Kihveli Oy 45329	Salmi		Tampere	2337,909421
Kukkasaari Ky 45329	Uusitalo		Kuopio	8446,741455
Kukkasaari Ky 45330	Karjalainen		Oulu	3446
Diamond Oy 45330	Salmi		Kuopio	1782
Kukkasaari Ky 45330	Helminen		Tampere	5116
Lahti Oy 45330	Uusitalo		Oulu	7206,056379
Masamyynti Oy 45330	Uusitalo		Oulu	1700,933181
Kukkasaari Ky 45330	Isotalo		Tampere	2149,25949
Lahti Oy 45331	Salmi		Kuopio	3257,639797
Kukkasaari Ky 45332	Helminen		Helsinki	9136
Kihveli Oy 45332	Isotalo		Oulu	2120,153927
Sokerisuuda Ky 45333	Uusitalo		Turku	1618,157106
Lahti Oy 45334	Karjalainen		Kuopio	5747
Uusitalo Oy 45334	Helminen		Tampere	5672,085681
